SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,Available_Stock,Days_to_Expiry,Low_Stock_Flag
SKU0011,Fresh Product 25,Fresh Produce,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7916,2025-04-02,2025-02-23,2025-04-07,160,711,4,124,2,2,"75,51",2.74,"9,42",231.0,80,2,"$1,12","$1,07","$795,61","3,19","27,00",80.85,FIFO,Expiring Soon,0,2025-07-22,-3.49,84.99,,583,-468,False
SKU0012,Personal Product 271,Personal Care,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH2876,2025-09-07,2025-07-26,2030-07-01,2,66,16,12,1,0,"6,86",179.0,"9,62",73.0,25,7,"$6,85","$7,15","$452,13","3,12","5,00",80.92,FEFO,Low Stock,2,2025-06-19,-0.15,60.92,,38,1443,True
SKU0013,Meat Product 81,Meat,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH3927,2025-07-04,2025-06-02,2025-07-25,67,443,71,24,0,1,"37,28",1.165,"11,88",394.0,133,7,"$1,66","$1,57","$736,40","2,52","9,00",95.88,FIFO,Expiring Soon,-4,2025-06-21,1.14,63.69,,348,-359,True
SKU0014,Pantry Product 312,Pantry,B,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH9837,2025-06-06,2025-04-18,2027-05-02,95,130,71,51,0,0,"21,21",784.0,"6,13",231.0,83,7,"$11,19","$11,78","$1.454,61","4,89","10,00",78.95,FIFO,Low Stock,-1,2025-06-25,-8.37,61.05,,8,287,True
SKU0015,Fresh Product 476,Fresh Produce,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH4946,2025-07-10,2025-05-15,2025-07-13,61,231,81,42,0,0,"29,50",850.0,"7,83",314.0,107,7,"$1,48","$1,49","$342,25","3,83","8,00",77.07,FIFO,Low Stock,1,2025-08-30,3.99,88.27,,108,-371,True
SKU0016,Household Product 390,Household,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH8787,2025-08-08,2025-06-09,2030-04-20,32,47,11,16,0,0,"4,47",101.0,"10,51",27.0,14,3,"$2,33","$2,13","$109,53","2,85","2,00",70.51,FIFO,In Stock,0,2025-08-07,1.32,71.83,,20,1371,True
SKU0017,Pantry Product 494,Pantry,A,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6107,2025-03-17,2025-02-20,2027-05-02,176,197,2,26,0,4,"24,40",889.0,"8,07",370.0,126,10,"$11,52","$10,50","$2.269,74","3,72","4,00",87.28,FEFO,Low Stock,0,2025-07-15,-2.51,85.03,,169,287,True
SKU0018,Frozen Product 127,Frozen,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4770,2025-06-15,2025-05-09,2025-12-17,86,484,22,107,0,0,"29,62",736.0,"16,34",447.0,151,10,"$7,58","$8,38","$3.669,49","1,84","10,00",80.28,FIFO,In Stock,-5,2025-09-09,3.03,74.34,Seasonal SKU,355,-214,True
SKU0019,Meat Product 464,Meat,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH4899,2025-08-22,2025-08-05,2025-09-12,18,41,6,2,3,0,"3,49",95.0,"11,75",24.0,10,4,"$11,33","$13,01","$464,73","2,55","3,00",92.26,FEFO,Expiring Soon,4,2025-08-13,-1.75,95.37,,33,-310,False
SKU0020,Beverages Product 452,Beverages,B,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH8749,2025-05-11,2025-03-21,2027-09-20,121,1,182,197,0,0,"90,45",2.685,"15,21",416.0,145,3,"$1,00","$1,12","$1.382,05","1,97","22,00",87.77,FEFO,In Stock,0,2025-08-16,-2.9,78.73,Fragile,-378,428,True
SKU0021,Seafood Product 211,Seafood,B,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH1993,2025-03-21,2025-02-24,2025-03-25,172,123,17,11,0,0,"7,17",162.0,"17,15",83.0,33,7,"$9,20","$8,45","$1.131,37","1,75","6,00",81.1,FEFO,Expiring Soon,0,2025-08-27,6.44,97.49,,95,-481,False
SKU0022,Dairy Product 230,Dairy,C,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH8579,2025-07-25,2025-07-10,2025-08-09,46,87,87,0,3,1,"47,30",1.49,"1,84",217.0,75,3,"$1,07","$0,99","$92,85","16,31","15,00",95.62,FIFO,Low Stock,0,2025-07-15,-7.65,96.56,,0,-344,True
SKU0023,Household Product 51,Household,B,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4872,2025-09-06,2025-08-27,2027-03-16,3,210,38,30,1,2,"19,30",661.0,"10,88",407.0,137,14,"$4,86","$4,58","$1.020,62","2,76","5,00",75.01,FEFO,Low Stock,-2,2025-07-09,-5.66,94.78,,142,240,True
SKU0024,Household Product 463,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH7396,2025-06-04,2025-05-19,2026-06-08,97,58,9,1,2,1,"8,38",196.0,"6,92",39.0,14,3,"$13,11","$12,72","$760,58","4,33","5,00",95.86,FEFO,In Stock,-2,2025-08-04,-1.78,62.9,,48,-41,False
SKU0025,Personal Product 402,Personal Care,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5861,2025-08-01,2025-07-19,2027-08-24,39,77,7,9,0,2,"4,96",141.0,"15,52",31.0,16,3,"$13,92","$15,91","$1.072,16","1,93","1,00",95.51,FIFO,In Stock,0,2025-06-27,6.84,70.39,,61,401,False
SKU0026,Fresh Product 161,Fresh Produce,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH9238,2025-04-13,2025-02-14,2025-04-23,149,801,163,83,1,1,"79,98",2.569,"10,01",361.0,121,3,"$2,09","$2,38","$1.672,81","3,00","20,00",85.35,FIFO,Expiring Soon,1,2025-09-02,2.12,73.61,,555,-452,False
SKU0027,Fresh Product 96,Fresh Produce,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4853,2025-08-23,2025-07-29,2025-09-05,17,470,138,111,1,1,"44,01",1.032,"10,68",205.0,73,3,"$2,00","$2,18","$939,58","2,81","14,00",81.57,FIFO,Expiring Soon,0,2025-06-29,2.41,60.55,,221,-317,False
SKU0028,Pantry Product 318,Pantry,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9565,2025-03-25,2025-03-05,2029-07-02,168,293,4,27,2,0,"27,22",948.0,"10,76",166.0,57,4,"$6,73","$7,23","$1.972,15","2,79","8,00",87.25,FEFO,In Stock,4,2025-08-14,5.93,62.52,,262,1079,False
SKU0029,Seafood Product 136,Seafood,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH8491,2025-03-22,2025-03-02,2025-03-29,171,259,23,53,0,2,"21,23",579.0,"12,20",98.0,34,3,"$7,20","$7,57","$1.865,81","2,46","8,00",84.19,FIFO,Expiring Soon,0,2025-09-08,-5.52,61.21,,183,-477,False
SKU0030,Personal Product 52,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5345,2025-07-17,2025-07-09,2029-05-18,54,112,12,22,0,2,"13,28",458.0,"8,43",287.0,101,14,"$17,29","$17,65","$1.936,29","3,56","6,00",83.2,FEFO,Low Stock,-2,2025-09-01,2.37,61.39,,78,1034,True
SKU0031,Bakery Product 81,Bakery,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH9666,2025-03-13,2025-03-13,2025-03-17,180,134,11,16,3,1,"19,25",570.0,"6,96",30.0,11,1,"$2,36","$2,33","$316,80","4,31","10,00",79.75,FEFO,Expiring Soon,-3,2025-06-17,-0.52,82.2,High return rate,107,-489,False
SKU0032,Meat Product 456,Meat,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5616,2025-08-01,2025-06-24,2025-08-14,39,17,1,6,4,1,"2,29",89.0,"7,42",11.0,9,1,"$11,30","$12,71","$192,16","4,04","3,00",94.1,FIFO,Expiring Soon,0,2025-07-28,-8.4,64.26,,10,-339,True
SKU0033,Pantry Product 136,Pantry,C,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH2512,2025-07-07,2025-05-28,2026-10-19,64,72,13,21,1,3,"5,96",151.0,"12,08",23.0,11,2,"$4,09","$3,87","$294,57","2,48","3,00",74.55,FEFO,In Stock,4,2025-08-05,-3.53,64.36,Promotional item,38,92,False
SKU0034,Beverages Product 327,Beverages,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH8007,2025-05-19,2025-04-14,2029-06-21,113,509,86,48,3,1,"54,19",1.242,"9,39",407.0,136,5,"$3,95","$3,67","$2.012,03","3,19","22,00",97.52,FIFO,In Stock,2,2025-08-26,-0.54,92.33,High return rate,375,1068,True
SKU0035,Pantry Product 428,Pantry,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH8041,2025-04-21,2025-04-13,2027-02-18,141,88,12,14,1,3,"6,95",191.0,"12,66",76.0,27,7,"$14,87","$13,99","$1.308,27","2,37","4,00",83.65,FIFO,In Stock,1,2025-08-01,6.29,93.33,,62,214,True
SKU0036,Personal Product 498,Personal Care,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH5088,2025-07-18,2025-06-06,2030-05-14,53,69,38,23,3,0,"18,94",647.0,"3,64",122.0,46,4,"$7,74","$7,41","$534,34","8,23","11,00",91.06,FIFO,Low Stock,2,2025-07-26,0.86,86.36,,8,1395,True
SKU0037,Personal Product 209,Personal Care,A,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3900,2025-07-11,2025-05-16,2027-06-08,60,197,20,13,2,1,"19,11",622.0,"10,31",122.0,46,4,"$12,50","$11,72","$2.462,76","2,91","8,00",97.94,FEFO,In Stock,-6,2025-09-06,-5.41,86.37,,164,324,False
SKU0038,Personal Product 401,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2771,2025-07-03,2025-06-09,2027-05-25,68,298,32,24,0,2,"15,07",335.0,"19,77",121.0,46,5,"$4,09","$3,70","$1.218,16","1,52","5,00",74.88,FIFO,In Stock,2,2025-07-11,3.03,62.94,,242,310,False
SKU0039,Household Product 236,Household,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH1387,2025-07-13,2025-06-01,2027-10-12,58,85,15,34,2,2,"16,91",635.0,"5,03",81.0,30,3,"$4,13","$4,07","$351,33","5,97","6,00",75.2,FIFO,In Stock,-4,2025-07-20,6.06,73.16,,36,450,True
SKU0040,Household Product 496,Household,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7548,2025-03-29,2025-02-14,2029-02-04,164,81,24,30,5,1,"8,96",327.0,"9,04",18.0,9,1,"$10,22","$10,51","$827,67","3,32","3,00",81.72,FEFO,In Stock,3,2025-09-06,9.51,80.33,Promotional item,27,931,False
SKU0041,Dairy Product 493,Dairy,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH8119,2025-08-13,2025-07-22,2025-09-08,27,398,6,3,3,3,"48,59",1.406,"8,19",513.0,173,7,"$2,17","$1,98","$861,95","3,66","18,00",75.37,FEFO,Low Stock,4,2025-07-16,5.51,75.23,,389,-314,True
SKU0042,Frozen Product 198,Frozen,B,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8144,2025-07-06,2025-07-06,2026-01-13,65,207,57,18,2,1,"47,41",1.163,"4,37",73.0,26,1,"$7,03","$7,85","$1.455,73","6,87","18,00",86.8,FIFO,In Stock,5,2025-07-25,-1.84,79.21,,132,-187,False
SKU0043,Personal Product 472,Personal Care,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3041,2025-06-21,2025-05-06,2030-03-10,80,193,37,21,2,0,"14,36",324.0,"13,44",155.0,54,7,"$22,22","$25,24","$4.288,52","2,23","9,00",94.34,FEFO,In Stock,0,2025-07-07,-7.18,84.06,,135,1330,True
SKU0044,Bakery Product 207,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7888,2025-08-08,2025-06-27,2025-08-11,32,42,15,4,2,0,"5,29",187.0,"7,94",59.0,22,7,"$1,77","$2,01","$74,37","3,78","1,00",77.93,FEFO,Low Stock,3,2025-06-15,5.27,76.16,,23,-342,True
SKU0045,Dairy Product 292,Dairy,C,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH5978,2025-04-22,2025-04-04,2025-04-29,140,293,61,8,2,1,"39,11",1.211,"7,49",123.0,45,2,"$2,53","$2,86","$742,23","4,00","18,00",70.32,FIFO,Expiring Soon,0,2025-07-16,-7.64,84.75,,224,-446,False
SKU0046,Pantry Product 165,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH4501,2025-05-19,2025-04-17,2030-03-02,113,298,80,85,0,0,"27,10",650.0,"11,00",82.0,28,2,"$2,31","$2,32","$689,04","2,73","8,00",86.71,FEFO,In Stock,3,2025-08-19,-2.34,88.05,,133,1322,False
SKU0047,Meat Product 340,Meat,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH6085,2025-08-17,2025-08-03,2025-08-29,23,282,59,57,2,1,"27,22",774.0,"10,36",43.0,16,1,"$6,50","$6,86","$1.832,58","2,90","5,00",98.55,FIFO,Expiring Soon,-4,2025-08-22,-0.52,86.79,High return rate,166,-324,False
SKU0048,Personal Product 313,Personal Care,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH4185,2025-05-26,2025-04-11,2029-12-05,106,48,4,5,2,1,"3,47",113.0,"13,83",13.0,10,1,"$0,43","$0,47","$20,63","2,17","4,00",89.76,FEFO,In Stock,5,2025-07-08,2.78,97.26,,39,1235,False
SKU0049,Dairy Product 353,Dairy,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3881,2025-05-24,2025-04-03,2025-06-07,108,80,62,18,2,0,"36,53",1.322,"2,19",118.0,45,2,"$0,94","$1,08","$75,30","13,70","17,00",87.59,FEFO,Low Stock,-1,2025-09-03,8.89,72.13,,0,-407,True
SKU0050,Personal Product 63,Personal Care,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH9702,2025-05-14,2025-04-09,2030-02-09,118,42,5,10,2,1,"3,89",144.0,"10,80",14.0,10,1,"$5,98","$6,19","$251,21","2,78","1,00",70.72,FEFO,In Stock,-2,2025-07-15,5.81,83.4,,27,1301,False
SKU0051,Beverages Product 259,Beverages,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH8777,2025-05-18,2025-04-20,2027-04-08,114,42,12,4,1,0,"4,08",110.0,"10,29",27.0,15,3,"$6,99","$7,30","$293,45","2,91","2,00",83.79,FEFO,In Stock,4,2025-08-09,-4.57,79.86,,26,263,True
SKU0052,Meat Product 399,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5499,2025-04-02,2025-03-05,2025-04-14,160,435,124,67,1,1,"34,41",1.331,"12,64",52.0,18,1,"$4,62","$4,61","$2.009,05","2,37","13,00",99.18,FIFO,Expiring Soon,0,2025-08-04,-7.51,93.6,,244,-461,False
SKU0053,Seafood Product 458,Seafood,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH4788,2025-08-05,2025-07-12,2025-08-10,35,41,4,6,1,2,"2,88",72.0,"14,24",6.0,3,1,"$11,66","$11,62","$478,21","2,11","2,00",77.68,FIFO,Expiring Soon,-1,2025-06-11,-9.27,79.69,,31,-343,False
SKU0054,Bakery Product 170,Bakery,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH4388,2025-05-26,2025-04-03,2025-05-28,106,680,47,26,0,0,"35,91",1.356,"18,94",117.0,45,2,"$2,30","$2,10","$1.566,31","1,58","11,00",70.15,FEFO,Expiring Soon,-2,2025-07-22,7.04,87.94,,607,-417,False
SKU0055,Pantry Product 357,Pantry,C,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH1096,2025-06-04,2025-04-05,2029-02-04,97,29,4,3,2,1,"2,41",89.0,"12,03",39.0,15,10,"$10,53","$10,39","$305,28","2,49","4,00",94.69,FEFO,Low Stock,3,2025-08-02,3.56,90.3,,22,931,True
SKU0056,Household Product 489,Household,A,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH4613,2025-04-23,2025-03-23,2029-09-09,139,216,36,18,0,2,"13,92",294.0,"15,52",70.0,28,3,"$14,10","$13,26","$3.045,75","1,93","8,00",92.45,FIFO,In Stock,0,2025-08-06,6.36,70.91,,162,1148,False
SKU0057,Fresh Product 173,Fresh Produce,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH9751,2025-05-13,2025-05-12,2025-05-18,119,1,43,129,0,0,"77,22",1.725,"14,83",117.0,40,1,"$1,49","$1,63","$1.706,97","2,02","26,00",87.53,FEFO,Expiring Soon,1,2025-06-26,4.17,92.39,,-171,-427,True
SKU0058,Fresh Product 330,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH1823,2025-05-14,2025-04-28,2025-05-19,118,81,31,9,2,2,"9,92",238.0,"8,17",17.0,7,1,"$1,14","$1,11","$92,66","3,67","3,00",90.07,FEFO,Expiring Soon,2,2025-07-30,9.94,90.2,,41,-426,False
SKU0059,Seafood Product 390,Seafood,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2341,2025-05-25,2025-04-25,2025-06-01,107,112,16,29,2,0,"8,92",307.0,"12,56",49.0,22,3,"$10,51","$10,62","$1.176,96","2,39","6,00",76.01,FIFO,Expiring Soon,-3,2025-07-02,-3.76,67.61,Promotional item,67,-413,False
SKU0060,Meat Product 36,Meat,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH1333,2025-07-08,2025-05-30,2025-07-19,63,129,3,15,0,3,"7,84",193.0,"16,45",169.0,59,14,"$2,46","$2,70","$316,98","1,82","1,00",87.17,FIFO,Low Stock,0,2025-08-10,-0.37,78.68,Seasonal SKU,111,-365,True
SKU0061,Pantry Product 112,Pantry,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH2876,2025-06-07,2025-04-19,2027-05-16,94,198,2,25,0,0,"24,13",552.0,"8,21",154.0,57,4,"$4,25","$4,74","$842,33","3,66","7,00",79.63,FIFO,In Stock,-7,2025-08-01,5.6,69.2,Seasonal SKU,171,301,False
SKU0062,Personal Product 295,Personal Care,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH4978,2025-07-21,2025-07-15,2026-12-23,50,27,5,4,1,0,"3,11",72.0,"8,68",12.0,9,1,"$13,09","$12,44","$353,36","3,46","3,00",78.82,FEFO,In Stock,-2,2025-06-14,3.86,94.06,,18,157,False
SKU0063,Dairy Product 290,Dairy,A,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH7071,2025-04-26,2025-04-22,2025-05-16,136,858,145,66,0,0,"57,00",1.365,"15,05",431.0,146,5,"$3,79","$3,98","$3.254,05","1,99","23,00",89.18,FEFO,Expiring Soon,7,2025-09-08,5.68,76.67,,647,-429,False
SKU0064,Household Product 55,Household,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH3506,2025-03-31,2025-03-04,2028-10-27,162,109,0,26,2,2,"12,70",391.0,"8,58",60.0,22,3,"$9,85","$9,26","$1.073,20","3,50","3,00",82.34,FIFO,In Stock,1,2025-07-05,-9.58,78.74,,83,831,False
SKU0065,Meat Product 414,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5397,2025-05-13,2025-04-23,2025-05-31,119,492,58,97,0,0,"33,94",954.0,"14,50",365.0,127,7,"$3,64","$3,77","$1.789,70","2,07","13,00",89.32,FIFO,Expiring Soon,2,2025-08-29,0.28,83.04,,337,-414,True
SKU0066,Frozen Product 385,Frozen,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH7209,2025-04-06,2025-03-16,2026-03-23,156,76,7,42,2,2,"15,63",472.0,"4,86",55.0,24,2,"$7,94","$7,96","$603,81","6,17","3,00",81.95,FIFO,In Stock,0,2025-07-08,2.04,75.7,,27,-118,True
SKU0067,Dairy Product 109,Dairy,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH5526,2025-06-14,2025-05-10,2025-06-29,87,261,81,6,0,1,"36,03",1.386,"7,24",165.0,57,3,"$2,70","$2,87","$704,00","4,14","10,00",75.01,FIFO,Expiring Soon,3,2025-07-05,-3.5,77.24,,174,-385,False
SKU0068,Fresh Product 369,Fresh Produce,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH8800,2025-04-20,2025-03-10,2025-04-26,142,271,97,65,2,2,"30,28",895.0,"8,95",233.0,82,5,"$1,44","$1,36","$391,19","3,35","14,00",95.61,FEFO,Expiring Soon,-4,2025-07-14,-9.27,92.08,,109,-449,True
SKU0069,Fresh Product 114,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH7046,2025-06-23,2025-05-24,2025-07-06,78,130,26,29,3,1,"13,39",377.0,"9,71",27.0,14,1,"$0,75","$0,72","$97,88","3,09","3,00",98.71,FEFO,Expiring Soon,0,2025-07-17,-6.4,78.24,,75,-378,False
SKU0070,Pantry Product 181,Pantry,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH4777,2025-06-23,2025-06-16,2027-11-19,78,12,12,0,1,0,"8,37",243.0,"1,43",16.0,8,1,"$8,83","$9,50","$105,93","20,92","6,00",88.23,FIFO,Low Stock,0,2025-07-31,-5.96,92.99,Temperature controlled,0,488,True
SKU0071,Personal Product 354,Personal Care,A,S003,PT Prima Distribusi,WHBDG,Bandung - Rancaekek,BATCH5530,2025-07-16,2025-05-31,2029-04-02,55,211,46,31,1,1,"14,69",393.0,"14,36",71.0,27,3,"$21,76","$22,73","$4.591,78","2,09","5,00",89.19,FEFO,In Stock,-3,2025-08-28,-3.03,92.92,,134,988,False
SKU0072,Meat Product 185,Meat,A,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH5494,2025-09-06,2025-09-04,2025-09-15,3,505,69,42,2,1,"37,18",1.246,"13,58",391.0,131,7,"$9,53","$8,87","$4.814,92","2,21","13,00",81.01,FIFO,Expiring Soon,2,2025-07-01,0.89,74.77,,394,-307,False
